Categories,Average_Position,Clicks,Money_Spent,Channel,Location,Prospects,Paid,Total,Day,Month,Year
Fitness,13.0,1.0,9.0,Capterra,USA,0.0,0,-9.0,16,Nov,2020
Membership Management,38.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,16,Nov,2020
Membership Management,28.0,1.0,7.75,Capterra,USA,0.0,0,-7.75,16,Nov,2020
Music School,6.0,1.0,8.0,Capterra,USA,0.0,0,-8.0,16,Nov,2020
Reservations,1.0,1.0,3.0,Capterra,Singapore,0.0,0,-3.0,16,Nov,2020
Reservations,2.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,16,Nov,2020
Reservations,21.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,16,Nov,2020
Scheduling,42.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,16,Nov,2020
Swim School,1.0,1.0,7.5,Capterra,USA,0.0,0,-7.5,16,Nov,2020
Venue Management,11.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,16,Nov,2020
Venue Management,1.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,16,Nov,2020
